Nome_Produto,Categoria_Produto,Total_Produtos_Vendidos,Total_Categoria_Vendida,Lucro_Total,Status_Alerta
"TV 148",Eletrônicos,1547,134599,150016.54,"Alerta: Preço Base Muito Maior"
"Alicate 340",Ferramentas,1547,133253,-117914.48,"Alerta: Preço Base Muito Maior"
"Creme hidratante 348",Beleza,1547,148734,9312.86,"Alerta: Preço Base Muito Maior"
"Feijão 126",Alimentos,1546,135868,-371153.94,"Alerta: Preço Base Muito Maior"
"Cadeira 625",Móveis,1546,142063,-19872.76,"Alerta: Preço Base Muito Maior"
"Carne 845",Alimentos,1545,135868,-88200.07,"Alerta: Preço Base Muito Maior"
"Maquiagem 755",Beleza,1545,148734,-51809.04,"Alerta: Preço Base Muito Maior"
"Biografia 363",Livros,1545,190052,141126.2,"Alerta: Preço Base Muito Maior"
"Biografia 912",Livros,1545,190052,-575641.74,"Alerta: Preço Base Muito Maior"
"Notebook 211",Eletrônicos,1544,134599,-362393.25,"Alerta: Preço Base Muito Maior"
"Bola 452",Brinquedos,1544,157064,149451.7,"Alerta: Preço Base Muito Maior"
"Cortina 772","Casa e Jardim",1544,149160,-109260.39,"Alerta: Preço Base Muito Maior"
"Feijão 943",Alimentos,1544,135868,-449503.23,"Alerta: Preço Base Muito Maior"
"Feijão 392",Alimentos,1544,135868,-435685.78,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 909",Brinquedos,1544,157064,-199924.29,"Alerta: Preço Base Muito Maior"
"Shampoo 640",Beleza,1543,148734,59813.13,"Alerta: Preço Base Muito Maior"
"História 953",Livros,1543,190052,-146057.87,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 240",Esportes,1543,144928,-400622.48,"Alerta: Preço Base Muito Maior"
"Tapete 420","Casa e Jardim",1542,149160,-282421.19,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 374","Casa e Jardim",1542,149160,-169805.45,"Alerta: Preço Base Muito Maior"
"Camisa de time 303",Esportes,1542,144928,-366228.14,"Alerta: Preço Base Muito Maior"
"Cadeira 257",Móveis,1540,142063,-203974.83,"Alerta: Preço Base Muito Maior"
"TV 841",Eletrônicos,1540,134599,-71235.52,"Alerta: Preço Base Muito Maior"
"Mesa 589",Móveis,1540,142063,-4746,"Alerta: Preço Base Muito Maior"
"Chave de fenda 130",Ferramentas,1539,133253,-349612.11,"Alerta: Preço Base Muito Maior"
"Biografia 877",Livros,1539,190052,-175946.19,"Alerta: Preço Base Muito Maior"
"Cadeira 751",Móveis,1537,142063,-320294.13,"Alerta: Preço Base Muito Maior"
"Condicionador 627",Beleza,1537,148734,-66458.59,"Alerta: Preço Base Muito Maior"
"Perfume 225",Beleza,1537,148734,-13452.35,"Alerta: Preço Base Muito Maior"
"Cortina 565","Casa e Jardim",1537,149160,114237.1,"Alerta: Preço Base Muito Maior"
"Shampoo 175",Beleza,1537,148734,-140374.15,"Alerta: Preço Base Muito Maior"
"Biografia 229",Livros,1537,190052,38521.54,"Alerta: Preço Base Muito Maior"
"Maquiagem 731",Beleza,1536,148734,-440202.45,"Alerta: Preço Base Muito Maior"
"Maquiagem 746",Beleza,1536,148734,-216027.99,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 367",Brinquedos,1536,157064,-180713.51,"Alerta: Preço Base Muito Maior"
"Ficção Científica 172",Livros,1535,190052,40525.9,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 396","Casa e Jardim",1535,149160,-216632.82,"Alerta: Preço Base Muito Maior"
"TV 227",Eletrônicos,1534,134599,-426078.17,"Alerta: Preço Base Muito Maior"
"Mesa 590",Móveis,1534,142063,-468732.63,"Alerta: Preço Base Muito Maior"
"Jaqueta 738",Roupas,1534,158263,-461106.44,"Alerta: Preço Base Muito Maior"
"Serra 146",Ferramentas,1534,133253,-400186.72,"Alerta: Preço Base Muito Maior"
"Biografia 192",Livros,1534,190052,-271240.71,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 133",Móveis,1534,142063,-128792.85,"Alerta: Preço Base Muito Maior"
"Smartphone 953",Eletrônicos,1533,134599,-428546.51,"Alerta: Preço Base Muito Maior"
"TV 405",Eletrônicos,1533,134599,-438604.34,"Alerta: Preço Base Muito Maior"
"Cadeira 810",Móveis,1533,142063,87012.35,"Alerta: Preço Base Muito Maior"
"Bola 533",Brinquedos,1532,157064,-15651.98,"Alerta: Preço Base Muito Maior"
"Tapete 415","Casa e Jardim",1532,149160,27347.5,"Alerta: Preço Base Muito Maior"
"Vaso de planta 546","Casa e Jardim",1531,149160,-239319.54,"Alerta: Preço Base Muito Maior"
"Sofá 641",Móveis,1531,142063,-567650.85,"Alerta: Preço Base Muito Maior"
"Smartphone 752",Eletrônicos,1531,134599,10184.41,"Alerta: Preço Base Muito Maior"
"Ficção Científica 497",Livros,1531,190052,112748.13,"Alerta: Preço Base Muito Maior"
"Notebook 863",Eletrônicos,1530,134599,93101.13,"Alerta: Preço Base Muito Maior"
"Cortina 560","Casa e Jardim",1530,149160,-551053.39,"Alerta: Preço Base Muito Maior"
"TV 351",Eletrônicos,1530,134599,-502918.45,"Alerta: Preço Base Muito Maior"
"Infantil 583",Livros,1530,190052,-60735.86,"Alerta: Preço Base Muito Maior"
"Bola 280",Brinquedos,1529,157064,25905.12,"Alerta: Preço Base Muito Maior"
"Frango 798",Alimentos,1529,135868,-585183.05,"Alerta: Preço Base Muito Maior"
"Cortina 870","Casa e Jardim",1528,149160,87987.75,"Alerta: Preço Base Muito Maior"
"Calça 329",Roupas,1528,158263,-3911.95,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 317",Esportes,1528,144928,-261871.72,"Alerta: Preço Base Muito Maior"
"Camiseta 753",Roupas,1527,158263,51999.08,"Alerta: Preço Base Muito Maior"
"Notebook 381",Eletrônicos,1527,134599,-471152.36,"Alerta: Preço Base Muito Maior"
"Maquiagem 626",Beleza,1527,148734,-563194.53,"Alerta: Preço Base Muito Maior"
"Maquiagem 566",Beleza,1526,148734,-200531.88,"Alerta: Preço Base Muito Maior"
"Boneca 708",Brinquedos,1526,157064,-475554.74,"Alerta: Preço Base Muito Maior"
"Cortina 910","Casa e Jardim",1526,149160,-80803.86,"Alerta: Preço Base Muito Maior"
"Cadeira 511",Móveis,1526,142063,-122122.8,"Alerta: Preço Base Muito Maior"
"Bola 530",Brinquedos,1526,157064,-551006.5,"Alerta: Preço Base Muito Maior"
"Furadeira 583",Ferramentas,1525,133253,-520720.83,"Alerta: Preço Base Muito Maior"
"Macarrão 708",Alimentos,1525,135868,-120952.76,"Alerta: Preço Base Muito Maior"
"Tapete 908","Casa e Jardim",1525,149160,-53231.38,"Alerta: Preço Base Muito Maior"
"Vestido 383",Roupas,1524,158263,127325.96,"Alerta: Preço Base Muito Maior"
"Camiseta 801",Roupas,1524,158263,-119320.29,"Alerta: Preço Base Muito Maior"
"Romance 661",Livros,1524,190052,-585298.14,"Alerta: Preço Base Muito Maior"
"Infantil 468",Livros,1523,190052,21572.21,"Alerta: Preço Base Muito Maior"
"Martelo 781",Ferramentas,1523,133253,127945.65,"Alerta: Preço Base Muito Maior"
"Sapato 826",Roupas,1523,158263,14149.15,"Alerta: Preço Base Muito Maior"
"Bola 924",Brinquedos,1523,157064,-580977.57,"Alerta: Preço Base Muito Maior"
"Bicicleta 261",Brinquedos,1522,157064,-335989.22,"Alerta: Preço Base Muito Maior"
"Chave de fenda 794",Ferramentas,1522,133253,35211.86,"Alerta: Preço Base Muito Maior"
"Cadeira 659",Móveis,1522,142063,-262539.31,"Alerta: Preço Base Muito Maior"
"Frango 152",Alimentos,1521,135868,140403.7,"Alerta: Preço Base Muito Maior"
"Maquiagem 641",Beleza,1520,148734,-429017.06,"Alerta: Preço Base Muito Maior"
"Vestido 718",Roupas,1520,158263,-476898.29,"Alerta: Preço Base Muito Maior"
"Furadeira 633",Ferramentas,1520,133253,90050.89,"Alerta: Preço Base Muito Maior"
"Lâmpada 127","Casa e Jardim",1520,149160,-442805.34,"Alerta: Preço Base Muito Maior"
"Perfume 265",Beleza,1520,148734,-222160.3,"Alerta: Preço Base Muito Maior"
"Vaso de planta 625","Casa e Jardim",1519,149160,-536990.44,"Alerta: Preço Base Muito Maior"
"História 560",Livros,1519,190052,-577120.69,"Alerta: Preço Base Muito Maior"
"Jaqueta 638",Roupas,1519,158263,129371.41,"Alerta: Preço Base Muito Maior"
"Camiseta 851",Roupas,1519,158263,-307567.88,"Alerta: Preço Base Muito Maior"
"TV 799",Eletrônicos,1519,134599,16401.04,"Alerta: Preço Base Muito Maior"
"Câmera 519",Eletrônicos,1519,134599,-322747.15,"Alerta: Preço Base Muito Maior"
"História 305",Livros,1519,190052,-483746.13,"Alerta: Preço Base Muito Maior"
"Cortina 864","Casa e Jardim",1518,149160,-100887.81,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 466",Móveis,1518,142063,-571585.28,"Alerta: Preço Base Muito Maior"
"Martelo 631",Ferramentas,1518,133253,-289265.92,"Alerta: Preço Base Muito Maior"
"Notebook 766",Eletrônicos,1518,134599,-213615.5,"Alerta: Preço Base Muito Maior"
"Sapato 252",Roupas,1518,158263,70807.32,"Alerta: Preço Base Muito Maior"
"Condicionador 269",Beleza,1517,148734,127690.11,"Alerta: Preço Base Muito Maior"
"Cadeira 893",Móveis,1517,142063,-516858.88,"Alerta: Preço Base Muito Maior"
"Bola de futebol 397",Esportes,1517,144928,-167043.63,"Alerta: Preço Base Muito Maior"
"Cama 585",Móveis,1517,142063,-380422.74,"Alerta: Preço Base Muito Maior"
"Skate 496",Esportes,1517,144928,-223492.8,"Alerta: Preço Base Muito Maior"
"Romance 718",Livros,1516,190052,148304.64,"Alerta: Preço Base Muito Maior"
"Bicicleta 243",Brinquedos,1514,157064,-113616.84,"Alerta: Preço Base Muito Maior"
"Frango 220",Alimentos,1514,135868,-334125.53,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 508",Eletrônicos,1514,134599,-265873.78,"Alerta: Preço Base Muito Maior"
"Lâmpada 992","Casa e Jardim",1514,149160,-339433.26,"Alerta: Preço Base Muito Maior"
"Infantil 254",Livros,1513,190052,-425496.98,"Alerta: Preço Base Muito Maior"
"TV 480",Eletrônicos,1513,134599,-404584.29,"Alerta: Preço Base Muito Maior"
"TV 522",Eletrônicos,1513,134599,-118041.83,"Alerta: Preço Base Muito Maior"
"Bola 910",Brinquedos,1513,157064,132871.75,"Alerta: Preço Base Muito Maior"
"Camiseta 818",Roupas,1512,158263,69680.59,"Alerta: Preço Base Muito Maior"
"Feijão 603",Alimentos,1511,135868,-122405.56,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 230",Esportes,1511,144928,-187096.8,"Alerta: Preço Base Muito Maior"
"Carrinho 576",Brinquedos,1511,157064,-415748.33,"Alerta: Preço Base Muito Maior"
"Shampoo 210",Beleza,1511,148734,-483819.01,"Alerta: Preço Base Muito Maior"
"Chave de fenda 239",Ferramentas,1511,133253,-237508.6,"Alerta: Preço Base Muito Maior"
"Maquiagem 263",Beleza,1511,148734,-308288.46,"Alerta: Preço Base Muito Maior"
"Cortina 100","Casa e Jardim",1510,149160,-79465.32,"Alerta: Preço Base Muito Maior"
"Smartphone 819",Eletrônicos,1510,134599,137001.89,OK
"Furadeira 495",Ferramentas,1510,133253,-266656.96,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 671","Casa e Jardim",1510,149160,84978.55,"Alerta: Preço Base Muito Maior"
"Feijão 259",Alimentos,1510,135868,-269753.69,"Alerta: Preço Base Muito Maior"
"Jaqueta 409",Roupas,1509,158263,-550830,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 579",Esportes,1509,144928,-109249.97,"Alerta: Preço Base Muito Maior"
"Arroz 495",Alimentos,1509,135868,-243640.35,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 396",Móveis,1508,142063,50839.71,"Alerta: Preço Base Muito Maior"
"Macarrão 777",Alimentos,1508,135868,-229887.81,"Alerta: Preço Base Muito Maior"
"Feijão 661",Alimentos,1508,135868,-103846.05,"Alerta: Preço Base Muito Maior"
"Arroz 169",Alimentos,1508,135868,-6882.72,"Alerta: Preço Base Muito Maior"
"Serra 736",Ferramentas,1507,133253,-234250.63,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 767","Casa e Jardim",1507,149160,-55825.92,"Alerta: Preço Base Muito Maior"
"Bola de futebol 156",Esportes,1507,144928,-469623.27,"Alerta: Preço Base Muito Maior"
"Calça 279",Roupas,1506,158263,-60139.3,"Alerta: Preço Base Muito Maior"
"Biografia 478",Livros,1506,190052,-32581.72,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 404",Esportes,1506,144928,-482174.72,"Alerta: Preço Base Muito Maior"
"Bola 773",Brinquedos,1506,157064,68287.45,"Alerta: Preço Base Muito Maior"
"Bola de futebol 265",Esportes,1505,144928,-260492.65,"Alerta: Preço Base Muito Maior"
"Furadeira 953",Ferramentas,1505,133253,-73806.77,"Alerta: Preço Base Muito Maior"
"Bola de futebol 922",Esportes,1505,144928,-142830.2,"Alerta: Preço Base Muito Maior"
"Shampoo 952",Beleza,1505,148734,-129020.28,"Alerta: Preço Base Muito Maior"
"Camisa de time 761",Esportes,1505,144928,-100348.58,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 885",Esportes,1504,144928,-504345.47,"Alerta: Preço Base Muito Maior"
"Arroz 778",Alimentos,1504,135868,-134240.11,"Alerta: Preço Base Muito Maior"
"Cama 212",Móveis,1504,142063,118737.89,"Alerta: Preço Base Muito Maior"
"Serra 665",Ferramentas,1504,133253,137119.77,"Alerta: Preço Base Muito Maior"
"História 401",Livros,1503,190052,-64657.61,"Alerta: Preço Base Muito Maior"
"Camiseta 436",Roupas,1502,158263,-417343.98,"Alerta: Preço Base Muito Maior"
"Maquiagem 955",Beleza,1502,148734,-68489.52,"Alerta: Preço Base Muito Maior"
"Alicate 974",Ferramentas,1502,133253,-260462.39,"Alerta: Preço Base Muito Maior"
"Vaso de planta 469","Casa e Jardim",1501,149160,-24558.17,"Alerta: Preço Base Muito Maior"
"Vestido 492",Roupas,1501,158263,123432.28,"Alerta: Preço Base Muito Maior"
"Smartphone 306",Eletrônicos,1501,134599,-11732.78,"Alerta: Preço Base Muito Maior"
"Camisa de time 110",Esportes,1500,144928,-47076.33,"Alerta: Preço Base Muito Maior"
"Smartphone 508",Eletrônicos,1500,134599,-410543.85,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 676","Casa e Jardim",1500,149160,-369155.26,"Alerta: Preço Base Muito Maior"
"Romance 241",Livros,1499,190052,55694.78,"Alerta: Preço Base Muito Maior"
"História 197",Livros,1499,190052,-577869.76,"Alerta: Preço Base Muito Maior"
"Maquiagem 336",Beleza,1499,148734,5757.02,"Alerta: Preço Base Muito Maior"
"Jaqueta 921",Roupas,1499,158263,-251351.89,"Alerta: Preço Base Muito Maior"
"Smartphone 561",Eletrônicos,1499,134599,-320723.14,"Alerta: Preço Base Muito Maior"
"Biografia 601",Livros,1499,190052,-168456.41,"Alerta: Preço Base Muito Maior"
"Jaqueta 917",Roupas,1499,158263,-585063.12,"Alerta: Preço Base Muito Maior"
"Cadeira 686",Móveis,1498,142063,-377198.98,"Alerta: Preço Base Muito Maior"
"Cama 449",Móveis,1498,142063,-385503.7,"Alerta: Preço Base Muito Maior"
"Vestido 337",Roupas,1498,158263,-228126.74,"Alerta: Preço Base Muito Maior"
"Infantil 891",Livros,1498,190052,-259485.9,"Alerta: Preço Base Muito Maior"
"Alicate 944",Ferramentas,1497,133253,-349349.72,"Alerta: Preço Base Muito Maior"
"Carrinho 115",Brinquedos,1497,157064,-107065.58,"Alerta: Preço Base Muito Maior"
"Infantil 730",Livros,1497,190052,-407477.35,"Alerta: Preço Base Muito Maior"
"TV 253",Eletrônicos,1497,134599,-173050.36,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 534",Esportes,1497,144928,-374540.57,"Alerta: Preço Base Muito Maior"
"Sofá 316",Móveis,1497,142063,-270408.2,"Alerta: Preço Base Muito Maior"
"Alicate 312",Ferramentas,1497,133253,-73510.05,"Alerta: Preço Base Muito Maior"
"Ficção Científica 868",Livros,1496,190052,-145138.83,"Alerta: Preço Base Muito Maior"
"Furadeira 592",Ferramentas,1496,133253,-262618.59,"Alerta: Preço Base Muito Maior"
"Bola 946",Brinquedos,1496,157064,-409005.54,"Alerta: Preço Base Muito Maior"
"Biografia 807",Livros,1496,190052,-351680.35,"Alerta: Preço Base Muito Maior"
"Infantil 574",Livros,1496,190052,-393117.47,"Alerta: Preço Base Muito Maior"
"Condicionador 391",Beleza,1495,148734,-449345.7,"Alerta: Preço Base Muito Maior"
"Bola 403",Brinquedos,1495,157064,-167834.45,"Alerta: Preço Base Muito Maior"
"Infantil 230",Livros,1495,190052,62538.58,"Alerta: Preço Base Muito Maior"
"História 489",Livros,1495,190052,-155897.26,"Alerta: Preço Base Muito Maior"
"Perfume 660",Beleza,1494,148734,-535816.05,"Alerta: Preço Base Muito Maior"
"Camisa de time 371",Esportes,1494,144928,-256352.14,"Alerta: Preço Base Muito Maior"
"Carne 738",Alimentos,1494,135868,50028.11,"Alerta: Preço Base Muito Maior"
"Bola 755",Brinquedos,1494,157064,-512036.02,"Alerta: Preço Base Muito Maior"
"Bola de futebol 282",Esportes,1494,144928,-214099.29,"Alerta: Preço Base Muito Maior"
"Chave de fenda 783",Ferramentas,1494,133253,-77120.85,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 499",Eletrônicos,1494,134599,-268461.9,"Alerta: Preço Base Muito Maior"
"Alicate 689",Ferramentas,1493,133253,-233604.87,"Alerta: Preço Base Muito Maior"
"Bola de futebol 553",Esportes,1493,144928,-576409.92,"Alerta: Preço Base Muito Maior"
"Vaso de planta 380","Casa e Jardim",1493,149160,-457352.96,"Alerta: Preço Base Muito Maior"
"Carne 345",Alimentos,1493,135868,-242347.53,"Alerta: Preço Base Muito Maior"
"Shampoo 815",Beleza,1492,148734,54056.5,"Alerta: Preço Base Muito Maior"
"Perfume 484",Beleza,1492,148734,34545.64,"Alerta: Preço Base Muito Maior"
"Mesa 751",Móveis,1492,142063,-434040.69,"Alerta: Preço Base Muito Maior"
"Cadeira 231",Móveis,1491,142063,-155998.76,"Alerta: Preço Base Muito Maior"
"Chave de fenda 260",Ferramentas,1491,133253,-122438.53,"Alerta: Preço Base Muito Maior"
"Câmera 884",Eletrônicos,1491,134599,-76022.29,"Alerta: Preço Base Muito Maior"
"Biografia 245",Livros,1491,190052,-560845.87,"Alerta: Preço Base Muito Maior"
"Lâmpada 271","Casa e Jardim",1490,149160,-380249.86,"Alerta: Preço Base Muito Maior"
"TV 446",Eletrônicos,1490,134599,21859.56,"Alerta: Preço Base Muito Maior"
"Frango 835",Alimentos,1490,135868,-352809.43,"Alerta: Preço Base Muito Maior"
"Shampoo 871",Beleza,1490,148734,-272187.29,"Alerta: Preço Base Muito Maior"
"Bola de futebol 420",Esportes,1490,144928,7884.91,"Alerta: Preço Base Muito Maior"
"Bicicleta 273",Brinquedos,1490,157064,110486.32,"Alerta: Preço Base Muito Maior"
"Perfume 794",Beleza,1489,148734,-533318.29,"Alerta: Preço Base Muito Maior"
"Condicionador 353",Beleza,1489,148734,-2975.96,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 719",Esportes,1489,144928,-157701.01,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 822",Esportes,1489,144928,17459.64,"Alerta: Preço Base Muito Maior"
"Infantil 822",Livros,1488,190052,-1865.15,"Alerta: Preço Base Muito Maior"
"Jaqueta 999",Roupas,1487,158263,-297903.75,"Alerta: Preço Base Muito Maior"
"Camisa de time 843",Esportes,1487,144928,62601.84,"Alerta: Preço Base Muito Maior"
"TV 534",Eletrônicos,1487,134599,-135702.9,"Alerta: Preço Base Muito Maior"
"Creme hidratante 904",Beleza,1487,148734,-405949.05,"Alerta: Preço Base Muito Maior"
"História 636",Livros,1486,190052,-32752.46,"Alerta: Preço Base Muito Maior"
"Shampoo 524",Beleza,1486,148734,-91559.75,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 657",Brinquedos,1486,157064,-9225.46,"Alerta: Preço Base Muito Maior"
"Condicionador 130",Beleza,1486,148734,-259083.72,"Alerta: Preço Base Muito Maior"
"Cortina 318","Casa e Jardim",1485,149160,-4879.71,"Alerta: Preço Base Muito Maior"
"Calça 760",Roupas,1485,158263,-528423.68,"Alerta: Preço Base Muito Maior"
"Macarrão 499",Alimentos,1484,135868,-498012.21,"Alerta: Preço Base Muito Maior"
"Ficção Científica 224",Livros,1483,190052,-191449.83,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 898",Esportes,1483,144928,1168.4,"Alerta: Preço Base Muito Maior"
"Biografia 825",Livros,1482,190052,-35806.32,"Alerta: Preço Base Muito Maior"
"Lâmpada 814","Casa e Jardim",1481,149160,-360841.55,"Alerta: Preço Base Muito Maior"
"Feijão 200",Alimentos,1481,135868,-138919.66,"Alerta: Preço Base Muito Maior"
"Sofá 649",Móveis,1481,142063,45998.59,"Alerta: Preço Base Muito Maior"
"Arroz 512",Alimentos,1481,135868,-206435.81,"Alerta: Preço Base Muito Maior"
"Cama 868",Móveis,1481,142063,-75305.81,"Alerta: Preço Base Muito Maior"
"Tapete 719","Casa e Jardim",1481,149160,-422718.1,"Alerta: Preço Base Muito Maior"
"Cadeira 517",Móveis,1481,142063,-213628.99,"Alerta: Preço Base Muito Maior"
"Biografia 227",Livros,1481,190052,31697.34,"Alerta: Preço Base Muito Maior"
"Câmera 270",Eletrônicos,1480,134599,-135222.05,"Alerta: Preço Base Muito Maior"
"Frango 206",Alimentos,1480,135868,-563082.88,"Alerta: Preço Base Muito Maior"
"Carne 548",Alimentos,1479,135868,-250538.71,"Alerta: Preço Base Muito Maior"
"Boneca 445",Brinquedos,1479,157064,-146422.63,"Alerta: Preço Base Muito Maior"
"Bola de futebol 184",Esportes,1479,144928,49928.94,"Alerta: Preço Base Muito Maior"
"Lâmpada 152","Casa e Jardim",1478,149160,-542613.87,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 564",Brinquedos,1478,157064,-316867.24,"Alerta: Preço Base Muito Maior"
"Carrinho 226",Brinquedos,1478,157064,-84900.62,"Alerta: Preço Base Muito Maior"
"Jaqueta 931",Roupas,1478,158263,-168036.61,"Alerta: Preço Base Muito Maior"
"Martelo 412",Ferramentas,1478,133253,74080.4,"Alerta: Preço Base Muito Maior"
"Smartphone 699",Eletrônicos,1478,134599,-193580.04,"Alerta: Preço Base Muito Maior"
"Bola 347",Brinquedos,1477,157064,6474.21,"Alerta: Preço Base Muito Maior"
"Arroz 498",Alimentos,1477,135868,-364863.12,"Alerta: Preço Base Muito Maior"
"Tapete 883","Casa e Jardim",1477,149160,64197.77,"Alerta: Preço Base Muito Maior"
"Jaqueta 319",Roupas,1477,158263,-575146.97,"Alerta: Preço Base Muito Maior"
"Macarrão 374",Alimentos,1476,135868,107736.08,"Alerta: Preço Base Muito Maior"
"Serra 156",Ferramentas,1476,133253,-163657.02,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 702",Eletrônicos,1476,134599,135297.1,"Alerta: Preço Base Muito Maior"
"Macarrão 577",Alimentos,1476,135868,-258048.22,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 539",Esportes,1476,144928,-302787.6,"Alerta: Preço Base Muito Maior"
"Bola 312",Brinquedos,1476,157064,-420536.01,"Alerta: Preço Base Muito Maior"
"Perfume 173",Beleza,1476,148734,141233.4,"Alerta: Preço Base Muito Maior"
"Martelo 813",Ferramentas,1476,133253,-497647.04,"Alerta: Preço Base Muito Maior"
"Smartphone 565",Eletrônicos,1475,134599,-391800.75,"Alerta: Preço Base Muito Maior"
"Vestido 500",Roupas,1475,158263,-36790.93,"Alerta: Preço Base Muito Maior"
"Cortina 838","Casa e Jardim",1475,149160,-418277.3,"Alerta: Preço Base Muito Maior"
"Creme hidratante 731",Beleza,1475,148734,-236628.6,"Alerta: Preço Base Muito Maior"
"Sapato 524",Roupas,1475,158263,122918.23,"Alerta: Preço Base Muito Maior"
"Macarrão 218",Alimentos,1475,135868,-100237.95,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 509",Eletrônicos,1474,134599,-567759.53,"Alerta: Preço Base Muito Maior"
"Lâmpada 495","Casa e Jardim",1474,149160,-403589.07,"Alerta: Preço Base Muito Maior"
"Arroz 577",Alimentos,1474,135868,-62649.77,"Alerta: Preço Base Muito Maior"
"TV 270",Eletrônicos,1474,134599,142765.86,OK
"Fone de ouvido 867",Eletrônicos,1474,134599,-309250.7,"Alerta: Preço Base Muito Maior"
"Condicionador 570",Beleza,1474,148734,-452741.73,"Alerta: Preço Base Muito Maior"
"Camiseta 325",Roupas,1474,158263,-7594.06,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 398",Eletrônicos,1473,134599,-418843.76,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 943",Esportes,1473,144928,-312274.37,"Alerta: Preço Base Muito Maior"
"Macarrão 783",Alimentos,1473,135868,-551256.1,"Alerta: Preço Base Muito Maior"
"TV 453",Eletrônicos,1473,134599,-258662.15,"Alerta: Preço Base Muito Maior"
"Frango 319",Alimentos,1473,135868,935.61,"Alerta: Preço Base Muito Maior"
"Notebook 857",Eletrônicos,1473,134599,1730.48,"Alerta: Preço Base Muito Maior"
"Lâmpada 482","Casa e Jardim",1473,149160,-536749.02,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 366",Brinquedos,1473,157064,99520.22,"Alerta: Preço Base Muito Maior"
"Cortina 444","Casa e Jardim",1473,149160,115863.64,"Alerta: Preço Base Muito Maior"
"Skate 439",Esportes,1473,144928,-518832.21,"Alerta: Preço Base Muito Maior"
"Boneca 682",Brinquedos,1472,157064,123750.42,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 167",Eletrônicos,1472,134599,-309648.65,"Alerta: Preço Base Muito Maior"
"Vaso de planta 490","Casa e Jardim",1472,149160,-19564.59,"Alerta: Preço Base Muito Maior"
"Serra 960",Ferramentas,1472,133253,-468453.59,"Alerta: Preço Base Muito Maior"
"Boneca 176",Brinquedos,1472,157064,-482671.64,"Alerta: Preço Base Muito Maior"
"Condicionador 367",Beleza,1472,148734,-61910.84,"Alerta: Preço Base Muito Maior"
"História 663",Livros,1471,190052,-389322.48,"Alerta: Preço Base Muito Maior"
"Arroz 451",Alimentos,1471,135868,44433.79,"Alerta: Preço Base Muito Maior"
"Macarrão 303",Alimentos,1470,135868,-203919.21,"Alerta: Preço Base Muito Maior"
"Biografia 573",Livros,1470,190052,-286376.83,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 310",Esportes,1470,144928,-546879.6,"Alerta: Preço Base Muito Maior"
"Ficção Científica 388",Livros,1470,190052,-164941.87,"Alerta: Preço Base Muito Maior"
"Frango 702",Alimentos,1469,135868,-473411.73,"Alerta: Preço Base Muito Maior"
"Sapato 806",Roupas,1469,158263,-1366.31,"Alerta: Preço Base Muito Maior"
"Perfume 143",Beleza,1469,148734,-561311.51,"Alerta: Preço Base Muito Maior"
"Furadeira 307",Ferramentas,1469,133253,12956.23,"Alerta: Preço Base Muito Maior"
"Bola 385",Brinquedos,1468,157064,68260.07,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 420",Móveis,1468,142063,-429005.72,"Alerta: Preço Base Muito Maior"
"Vestido 551",Roupas,1468,158263,-244668.49,"Alerta: Preço Base Muito Maior"
"Sofá 827",Móveis,1467,142063,-79145.94,"Alerta: Preço Base Muito Maior"
"Carne 666",Alimentos,1467,135868,-33605.58,"Alerta: Preço Base Muito Maior"
"Lâmpada 700","Casa e Jardim",1467,149160,-548615.53,"Alerta: Preço Base Muito Maior"
